DATAFLOW,LAST UPDATE,freq,accomunit,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT34,2021,27,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT34,2022,42,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2013,40.4,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2015,44.02,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2016,40,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2017,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2018,45,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2019,46,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2020,23.92,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2021,28.42,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE,2022,40.86,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2013,46.1,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2015,48.55,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2016,38,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2017,47,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2018,53,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2019,54,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2020,20.27,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2021,21.64,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE1,2022,46.36,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2013,46.1,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2015,48.55,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2016,38,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2017,47,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2018,53,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2019,54,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2020,20.27,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2021,21.64,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE10,2022,46.36,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2013,40.8,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2015,43.74,
