DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-05,126.94,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-06,127.29,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-07,127.25,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-08,127.83,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-09,128.16,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-10,128.33,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-11,127.84,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-12,128.03,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-03,114.28,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-04,115.55,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-05,116.17,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-06,117.23,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-07,116.08,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-08,115.87,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-09,118.04,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-10,118.17,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-11,116.86,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EL,2023-12,116.97,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-03,119.06,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-04,119.61,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-05,119.44,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-06,120.13,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-07,120.03,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-08,120.68,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-09,121.38,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-10,121.69,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-11,121.05,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,ES,2023-12,121.06,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-03,126.05,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-04,126.83,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-05,126.88,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-06,127.22,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-07,127.17,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-08,127.78,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-09,128.11,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-10,128.27,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-11,127.76,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU,2023-12,127.95,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-03,125.52,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-04,126.30,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-05,126.35,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-06,126.69,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-07,126.64,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-08,127.24,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-09,127.57,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-10,127.73,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-11,127.23,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EU27_2020,2023-12,127.42,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,FI,2023-03,118.98,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,FI,2023-04,119.05,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,FI,2023-05,119.14,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,FI,2023-06,118.96,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,FI,2023-07,119.28,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,FI,2023-08,117.96,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,FI,2023-09,118.66,
